mark,model,generation_name,year,mileage,vol_engine,fuel,price
audi,a3,gen-8p-2003-2012,2005,257104,1595,Gasoline,14900
audi,a3,gen-8p-2003-2012,2005,169000,1984,Gasoline,22900
audi,a3,gen-8p-2003-2012,2007,238000,1598,Gasoline,16999
audi,a3,gen-8p-2003-2012,2009,158000,1390,Gasoline,27800
audi,a3,gen-8p-2003-2012,2006,249000,1595,Gasoline,18900
audi,a3,gen-8p-2003-2012,2011,199000,1968,Diesel,36999
audi,a3,gen-8p-2003-2012,2007,166151,1595,Gasoline,19999
audi,a3,gen-8p-2003-2012,2010,264678,1598,Diesel,25900
audi,a3,gen-8p-2003-2012,2006,266000,1595,Gasoline,20900
audi,a3,gen-8p-2003-2012,2008,190745,1968,Diesel,28880
audi,a3,gen-8p-2003-2012,2006,215000,1968,Diesel,21900
audi,a3,gen-8p-2003-2012,2007,230000,1598,Gasoline,28900
audi,a3,gen-8p-2003-2012,2005,260961,1968,Diesel,11900
audi,a3,gen-8p-2003-2012,2003,274000,3189,Gasoline,20500
audi,a3,gen-8p-2003-2012,2007,165000,1968,Diesel,27990
audi,a3,gen-8p-2003-2012,2006,225500,1968,Diesel,22900
audi,a3,gen-8p-2003-2012,2009,153282,1968,Diesel,28500
audi,a3,gen-8p-2003-2012,2008,184504,1968,Diesel,27000
audi,a3,gen-8p-2003-2012,2005,230000,1595,Gasoline,15999
audi,a3,gen-8p-2003-2012,2009,155800,1968,Diesel,33900
audi,a3,gen-8p-2003-2012,2008,226100,1968,Diesel,29900
audi,a3,gen-8p-2003-2012,2007,182000,1595,Gasoline,22900
audi,a3,gen-8p-2003-2012,2009,130000,1390,Gasoline,25900
audi,a3,gen-8p-2003-2012,2009,206000,1798,Gasoline,25900
audi,a3,gen-8p-2003-2012,2008,195000,1798,Gasoline,33900
audi,a3,gen-8p-2003-2012,2011,139005,1598,Diesel,39900
audi,a3,gen-8p-2003-2012,2007,308000,1896,Diesel,18500
audi,a3,gen-8p-2003-2012,2006,316860,1968,Diesel,23900
audi,a3,gen-8p-2003-2012,2005,240000,1896,Diesel,20900
audi,a3,gen-8p-2003-2012,2007,200123,1595,Gasoline,17400
audi,a3,gen-8p-2003-2012,2004,215000,3189,Gasoline,24900
audi,a3,gen-8p-2003-2012,2011,172000,1968,Diesel,34800
audi,a3,gen-8p-2003-2012,2008,227388,1968,Diesel,18900
audi,a3,gen-8p-2003-2012,2004,217122,1984,Gasoline,19000
audi,a3,gen-8p-2003-2012,2006,247000,1968,Diesel,17500
audi,a3,gen-8p-2003-2012,2002,202000,1600,Gasoline,11900
audi,a3,gen-8p-2003-2012,2007,114077,1595,Gasoline,21500
audi,a3,gen-8p-2003-2012,2012,170000,1197,Gasoline,28500
audi,a3,gen-8p-2003-2012,2004,202000,3189,Gasoline,22900
audi,a3,gen-8p-2003-2012,2004,172000,1598,Gasoline,12900
audi,a3,gen-8p-2003-2012,2005,234000,1595,Gasoline,13900
audi,a3,gen-8p-2003-2012,2011,270000,1968,Diesel,32900
audi,a3,gen-8p-2003-2012,2010,257791,1598,Diesel,29600
audi,a3,gen-8p-2003-2012,2009,224000,1968,Diesel,27700
audi,a3,gen-8p-2003-2012,2009,379000,1968,Diesel,29999
audi,a3,gen-8p-2003-2012,2011,199000,1968,Diesel,29890
audi,a3,gen-8p-2003-2012,2009,146645,1595,Gasoline,29499
audi,a3,gen-8p-2003-2012,2008,186600,1595,Gasoline,25000
audi,a3,gen-8p-2003-2012,2007,173600,1598,Gasoline,13900
